VALUE,COUNT,ECOREGION_RASTER,US_200EVT,ECO_NAME,EVT_NAME,EVT_PHYS
90,2715,17039,7922,North Cascades,Western Cool Temperate Developed Ruderal Mixed Forest,Developed
91,8655,17039,7942,North Cascades,Western Cool Temperate Developed Ruderal Mixed Forested Wetland,Developed
92,9508,17039,9165,North Cascades,North Pacific Hardwood-Conifer Swamp,Riparian
93,10119,17039,7921,North Cascades,Western Cool Temperate Developed Ruderal Evergreen Forest,Developed
94,675,17039,7944,North Cascades,Western Cool Temperate Developed Ruderal Herbaceous Wetland,Developed
95,2909,17039,7157,North Cascades,North Pacific Lowland Riparian Shrubland,Riparian
96,751,17039,7923,North Cascades,Western Cool Temperate Developed Ruderal Shrubland,Developed
97,1313381,17039,7041,North Cascades,North Pacific Mountain Hemlock Forest,Conifer
98,385594,17039,7038,North Cascades,North Pacific Maritime Mesic Subalpine Parkland,Conifer
99,191055,17039,7292,North Cascades,Open Water,Open Water
100,38648,17039,7083,North Cascades,North Pacific Avalanche Chute Shrubland,Shrubland
101,56752,17039,7158,North Cascades,North Pacific Montane Riparian Woodland,Riparian
102,188630,17039,7171,North Cascades,North Pacific Alpine and Subalpine Dry Grassland,Grassland
103,4585,17039,7159,North Cascades,North Pacific Montane Riparian Shrubland,Riparian
104,744,17039,7295,North Cascades,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads
105,106,17039,7663,North Cascades,North Pacific Shrub Swamp,Shrubland
106,763044,17039,7734,North Cascades,North Pacific Alpine and Subalpine Bedrock and Scree,Sparsely Vegetated
107,230,17039,9166,North Cascades,North Pacific Herbaceous Bald and Bluff,Grassland
108,111352,17039,7068,North Cascades,North Pacific Dry and Mesic Alpine Dwarf-Shrubland,Shrubland
109,16518,17039,7069,North Cascades,North Pacific Dry and Mesic Alpine Fell-field or Meadow,Grassland
110,6372,17039,9272,North Cascades,Temperate Pacific Subalpine-Montane Wet Meadow,Riparian
111,691,17039,-9999,North Cascades, , 
112,1558,17039,7197,North Cascades,Recently Burned-Tree Cover,Conifer
113,65,17039,7134,North Cascades,Columbia Basin Foothill and Canyon Dry Grassland,Grassland
114,145189,17041,9171,Pacific Northwest Coast,North Pacific Maritime Coastal Sand Dune and Strand,Sparsely Vegetated
115,268412,17041,7668,Pacific Northwest Coast,Temperate Pacific Tidal Salt and Brackish Marsh,Riparian
116,7103,17041,9167,Pacific Northwest Coast,North Pacific Hypermaritime Herbaceous Headland,Grassland
117,19052,17039,7195,North Cascades,Recently Burned-Herb and Grass Cover,Grassland
118,783776,17041,7292,Pacific Northwest Coast,Open Water,Open Water
119,8687,17039,7196,North Cascades,Recently Burned-Shrub Cover,Shrubland
120,83825,17041,7924,Pacific Northwest Coast,Western Cool Temperate Developed Ruderal Grassland,Developed
121,120349,17041,7733,Pacific Northwest Coast,North Pacific Montane Massive Bedrock-Cliff and Talus,Sparsely Vegetated
122,241278,17041,7662,Pacific Northwest Coast,Temperate Pacific Freshwater Emergent Marsh,Riparian
123,354,17051,9811,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,North Pacific Maritime Coastal Sand Dune Ruderal Herb Vegetation,Exotic Herbaceous
124,6870888,17041,7036,Pacific Northwest Coast,North Pacific Seasonal Sitka Spruce Forest,Conifer
125,236,17051,9311,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,North Pacific Maritime Coastal Sand Dune Ruderal Scrub,Exotic Tree-Shrub
126,229648,17039,7735,North Cascades,North American Glacier and Ice Field,Snow-Ice
127,7869851,17041,7037,Pacific Northwest Coast,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Conifer
128,9984606,17041,7039,Pacific Northwest Coast,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Conifer
129,461939,17041,7178,Pacific Northwest Coast,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,Conifer
130,1960303,17041,7156,Pacific Northwest Coast,North Pacific Lowland Riparian Forest,Riparian
131,4285519,17041,7063,Pacific Northwest Coast,North Pacific Broadleaf Landslide Forest,Hardwood
132,209501,17041,7296,Pacific Northwest Coast,Developed-Low Intensity,Developed-Low Intensity
133,737610,17041,7901,Pacific Northwest Coast,Western Cool Temperate Urban Evergreen Forest,Developed
134,237603,17041,7902,Pacific Northwest Coast,Western Cool Temperate Urban Mixed Forest,Developed
135,554992,17041,7299,Pacific Northwest Coast,Developed-Roads,Developed-Roads
136,389514,17041,7900,Pacific Northwest Coast,Western Cool Temperate Urban Deciduous Forest,Developed
137,1692,17051,9166,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,North Pacific Herbaceous Bald and Bluff,Grassland
138,3188981,17041,7042,Pacific Northwest Coast,North Pacific Mesic Western Hemlock-Silver Fir Forest,Conifer
139,573032,17041,9170,Pacific Northwest Coast,North Pacific Lowland Mixed Hardwood-Conifer Forest,Conifer-Hardwood
140,117579,17041,7084,Pacific Northwest Coast,North Pacific Montane Shrubland,Shrubland
141,77986,17041,9165,Pacific Northwest Coast,North Pacific Hardwood-Conifer Swamp,Riparian
142,109654,17041,7903,Pacific Northwest Coast,Western Cool Temperate Urban Herbaceous,Developed
143,74486,17041,7200,Pacific Northwest Coast,Recently Disturbed Other-Tree Cover,Conifer
144,1072408,17041,7193,Pacific Northwest Coast,Recently Logged-Tree Cover,Conifer
145,144,17051,9167,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,North Pacific Hypermaritime Herbaceous Headland,Grassland
146,316316,17041,7041,Pacific Northwest Coast,North Pacific Mountain Hemlock Forest,Conifer
147,396003,17041,9826,Pacific Northwest Coast,Southern Vancouverian Lowland Ruderal Grassland,Exotic Herbaceous
148,703,17041,9667,Pacific Northwest Coast,North Pacific Hypermaritime Shrub Headland,Shrubland
149,1503777,17041,7191,Pacific Northwest Coast,Recently Logged-Herb and Grass Cover,Grassland
150,52633,17041,7297,Pacific Northwest Coast,Developed-Medium Intensity,Developed-Medium Intensity
151,20151,17041,7298,Pacific Northwest Coast,Developed-High Intensity,Developed-High Intensity
152,15448,17051,9165,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,North Pacific Hardwood-Conifer Swamp,Riparian
153,35866,17041,7157,Pacific Northwest Coast,North Pacific Lowland Riparian Shrubland,Riparian
154,73427,17041,7942,Pacific Northwest Coast,Western Cool Temperate Developed Ruderal Mixed Forested Wetland,Developed
155,120147,17041,7921,Pacific Northwest Coast,Western Cool Temperate Developed Ruderal Evergreen Forest,Developed
156,21287,17041,7923,Pacific Northwest Coast,Western Cool Temperate Developed Ruderal Shrubland,Developed
157,32953,17041,7920,Pacific Northwest Coast,Western Cool Temperate Developed Ruderal Deciduous Forest,Developed
158,67671,17041,7904,Pacific Northwest Coast,Western Cool Temperate Urban Shrubland,Developed
159,1230,17041,7295,Pacific Northwest Coast,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads
160,511,17041,7663,Pacific Northwest Coast,North Pacific Shrub Swamp,Shrubland
161,48129,17041,9326,Pacific Northwest Coast,Southern Vancouverian Lowland Ruderal Shrubland,Exotic Tree-Shrub
162,724966,17041,7967,Pacific Northwest Coast,Western Cool Temperate Pasture and Hayland,Agricultural
163,617858,17041,7192,Pacific Northwest Coast,Recently Logged-Shrub Cover,Shrubland
164,26087,17041,7964,Pacific Northwest Coast,Western Cool Temperate Row Crop,Agricultural
165,27272,17041,7960,Pacific Northwest Coast,Western Cool Temperate Orchard,Agricultural
166,973,17041,7965,Pacific Northwest Coast,Western Cool Temperate Close Grown Crop,Agricultural
167,24556,17041,7198,Pacific Northwest Coast,Recently Disturbed Other-Herb and Grass Cover,Grassland
168,14152,17051,7042,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,North Pacific Mesic Western Hemlock-Silver Fir Forest,Conifer
169,17972,17051,7008,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,North Pacific Oak Woodland,Hardwood
170,5023,17051,7174,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,Conifer
171,19097,17041,7195,Pacific Northwest Coast,Recently Burned-Herb and Grass Cover,Grassland
172,13278,17041,7196,Pacific Northwest Coast,Recently Burned-Shrub Cover,Shrubland
173,2060,17051,7084,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,North Pacific Montane Shrubland,Shrubland
174,4132,17051,7158,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,North Pacific Montane Riparian Woodland,Riparian
175,2793,17040,-9999,Okanagan, , 
176,33621,17040,7174,Okanagan,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,Conifer
177,78513,17040,7042,Okanagan,North Pacific Mesic Western Hemlock-Silver Fir Forest,Conifer
178,3572,17040,7178,Okanagan,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,Conifer
179,547,17040,7037,Okanagan,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Conifer
180,137492,17040,7018,Okanagan,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,Conifer
181,173,17040,9170,Okanagan,North Pacific Lowland Mixed Hardwood-Conifer Forest,Conifer-Hardwood
182,30122,17040,7156,Okanagan,North Pacific Lowland Riparian Forest,Riparian
183,60,17040,7039,Okanagan,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Conifer
184,1049,17040,7662,Okanagan,Temperate Pacific Freshwater Emergent Marsh,Riparian
185,1278,17040,7157,Okanagan,North Pacific Lowland Riparian Shrubland,Riparian
186,192700,17040,7733,Okanagan,North Pacific Montane Massive Bedrock-Cliff and Talus,Sparsely Vegetated
187,339696,17040,7292,Okanagan,Open Water,Open Water
188,11,17040,7063,Okanagan,North Pacific Broadleaf Landslide Forest,Hardwood
189,2570,17040,9826,Okanagan,Southern Vancouverian Lowland Ruderal Grassland,Exotic Herbaceous
190,54420,17040,7901,Okanagan,Western Cool Temperate Urban Evergreen Forest,Developed
191,312698,17040,7299,Okanagan,Developed-Roads,Developed-Roads
192,185664,17040,7296,Okanagan,Developed-Low Intensity,Developed-Low Intensity
193,79251,17041,7035,Pacific Northwest Coast,North Pacific Dry Douglas-fir-(Madrone) Forest and Woodland,Conifer
194,5427,17040,7902,Okanagan,Western Cool Temperate Urban Mixed Forest,Developed
195,39330,17040,7900,Okanagan,Western Cool Temperate Urban Deciduous Forest,Developed
196,79740,17040,7041,Okanagan,North Pacific Mountain Hemlock Forest,Conifer
197,3123,17040,7038,Okanagan,North Pacific Maritime Mesic Subalpine Parkland,Conifer
198,293251,17040,7734,Okanagan,North Pacific Alpine and Subalpine Bedrock and Scree,Sparsely Vegetated
199,367524,17040,7055,Okanagan,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer
200,705531,17040,7056,Okanagan,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer
201,125761,17040,7068,Okanagan,North Pacific Dry and Mesic Alpine Dwarf-Shrubland,Shrubland
202,255880,17039,7056,North Cascades,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer
203,167118,17040,7171,Okanagan,North Pacific Alpine and Subalpine Dry Grassland,Grassland
204,4409,17040,7069,Okanagan,North Pacific Dry and Mesic Alpine Fell-field or Meadow,Grassland
205,319299,17040,7084,Okanagan,North Pacific Montane Shrubland,Shrubland
206,61960,17039,7055,North Cascades,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer
207,3886,17040,7083,Okanagan,North Pacific Avalanche Chute Shrubland,Shrubland
208,44354,17040,7158,Okanagan,North Pacific Montane Riparian Woodland,Riparian
209,4928,17040,7159,Okanagan,North Pacific Montane Riparian Shrubland,Riparian
210,607,17051,7196,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Recently Burned-Shrub Cover,Shrubland
211,80054,17040,9022,Okanagan,Rocky Mountain Subalpine-Montane Riparian Woodland,Riparian
212,703668,17040,7046,Okanagan,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer
213,15563,17040,9272,Okanagan,Temperate Pacific Subalpine-Montane Wet Meadow,Riparian
214,65913,17041,7158,Pacific Northwest Coast,North Pacific Montane Riparian Woodland,Riparian
215,481,17040,7735,Okanagan,North American Glacier and Ice Field,Snow-Ice
216,255,17039,7018,North Cascades,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,Conifer
217,761278,17040,7050,Okanagan,Rocky Mountain Lodgepole Pine Forest,Conifer
218,8269682,17040,7045,Okanagan,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Conifer
219,2327,17041,7966,Pacific Northwest Coast,Western Cool Temperate Fallow/Idle Cropland,Agricultural
220,7638,17039,7046,North Cascades,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer
221,13080,17040,7011,Okanagan,Rocky Mountain Aspen Forest and Woodland,Hardwood
222,68228,17040,7165,Okanagan,Northern Rocky Mountain Foothill Conifer Wooded Steppe,Conifer
223,3093398,17040,7053,Okanagan,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,Conifer
224,5356,17041,7922,Pacific Northwest Coast,Western Cool Temperate Developed Ruderal Mixed Forest,Developed
225,1729,17039,9022,North Cascades,Rocky Mountain Subalpine-Montane Riparian Woodland,Riparian
226,4701,17041,7199,Pacific Northwest Coast,Recently Disturbed Other-Shrub Cover,Shrubland
227,128569,17041,7174,Pacific Northwest Coast,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,Conifer
228,296,17051,7159,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,North Pacific Montane Riparian Shrubland,Riparian
229,9304,17041,7962,Pacific Northwest Coast,Western Cool Temperate Bush fruit and berries,Agricultural
230,6179,17041,7197,Pacific Northwest Coast,Recently Burned-Tree Cover,Conifer
231,54862,17040,7192,Okanagan,Recently Logged-Shrub Cover,Shrubland
232,86170,17040,7297,Okanagan,Developed-Medium Intensity,Developed-Medium Intensity
233,269409,17040,7126,Okanagan,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland
234,56615,17040,7197,Okanagan,Recently Burned-Tree Cover,Conifer
235,510186,17040,7196,Okanagan,Recently Burned-Shrub Cover,Shrubland
236,815179,17040,7195,Okanagan,Recently Burned-Herb and Grass Cover,Grassland
237,1660423,17040,7106,Okanagan,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland
238,37802,17051,7120,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,Willamette Valley Upland Prairie,Grassland
239,4368,17041,7944,Pacific Northwest Coast,Western Cool Temperate Developed Ruderal Herbaceous Wetland,Developed
240,1187143,17040,7139,Okanagan,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland
241,453265,17040,7125,Okanagan,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland
242,152603,17040,7010,Okanagan,Northern Rocky Mountain Western Larch Savanna,Conifer
243,225861,17040,7123,Okanagan,Columbia Plateau Steppe and Grassland,Grassland
244,34548,17040,9011,Okanagan,North American Arid West Emergent Marsh,Riparian
245,471153,17040,7080,Okanagan,Inter-Mountain Basins Big Sagebrush Shrubland,Shrubland
246,66075,17040,7960,Okanagan,Western Cool Temperate Orchard,Agricultural
247,151057,17040,7967,Okanagan,Western Cool Temperate Pasture and Hayland,Agricultural
248,363454,17040,7965,Okanagan,Western Cool Temperate Close Grown Crop,Agricultural
249,49249,17040,9006,Okanagan,Inter-Mountain Basins Cliff and Canyon,Sparsely Vegetated
250,12738,17040,9328,Okanagan,Interior Western North American Temperate Ruderal Shrubland,Exotic Tree-Shrub
251,31847,17040,9002,Okanagan,Columbia Basin Foothill Riparian Woodland,Riparian
252,27523,17040,9329,Okanagan,Western North American Ruderal Wet Shrubland,Riparian
253,107354,17040,9829,Okanagan,Western North American Ruderal Wet Meadow & Marsh,Riparian
254,7799,17040,9504,Okanagan,Columbia Basin Foothill Riparian Herbaceous,Riparian
255,76412,17040,9336,Okanagan,Great Basin & Intermountain Ruderal Shrubland,Exotic Tree-Shrub
256,40154,17040,9309,Okanagan,Great Basin & Intermountain Introduced Perennial Grassland and Forbland,Exotic Herbaceous
257,24910,17040,9308,Okanagan,Great Basin & Intermountain Introduced Annual Grassland,Exotic Herbaceous
258,76695,17040,7134,Okanagan,Columbia Basin Foothill and Canyon Dry Grassland,Grassland
259,6304,17040,9502,Okanagan,Columbia Basin Foothill Riparian Shrubland,Riparian
260,30212,17040,7065,Okanagan,Columbia Plateau Scabland Shrubland,Shrubland
261,41553,17040,7904,Okanagan,Western Cool Temperate Urban Shrubland,Developed
262,240898,17040,9828,Okanagan,Interior Western North American Temperate Ruderal Grassland,Exotic Herbaceous
