VALUE,COUNT,US_200EVT,PADUS_GAP_RESAMP,ECOREGION_RASTER,EVT_NAME,EVT_PHYS,ECO_NAME
52,2425,7904,3,17051,Western Cool Temperate Urban Shrubland,Developed,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
53,5296,7903,3,17051,Western Cool Temperate Urban Herbaceous,Developed,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
54,1878,9326,3,17051,Southern Vancouverian Lowland Ruderal Shrubland,Exotic Tree-Shrub,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
55,1850,7965,3,17051,Western Cool Temperate Close Grown Crop,Agricultural,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
56,22650,7292,3,17051,Open Water,Open Water,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
57,755,7157,3,17051,North Pacific Lowland Riparian Shrubland,Riparian,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
58,95806,7156,3,17051,North Pacific Lowland Riparian Forest,Riparian,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
59,5241,7902,3,17051,Western Cool Temperate Urban Mixed Forest,Developed,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
60,1728,7157,2,17051,North Pacific Lowland Riparian Shrubland,Riparian,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
61,69628,7156,2,17051,North Pacific Lowland Riparian Forest,Riparian,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
62,15438,7292,4,17051,Open Water,Open Water,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
63,5818,7668,4,17051,Temperate Pacific Tidal Salt and Brackish Marsh,Riparian,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
64,7433,7942,4,17051,Western Cool Temperate Developed Ruderal Mixed Forested Wetland,Developed,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
65,59502,7156,4,17051,North Pacific Lowland Riparian Forest,Riparian,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
66,421,9171,4,17051,North Pacific Maritime Coastal Sand Dune and Strand,Sparsely Vegetated,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
67,28670,9170,3,17051,North Pacific Lowland Mixed Hardwood-Conifer Forest,Conifer-Hardwood,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
68,4119,9826,3,17051,Southern Vancouverian Lowland Ruderal Grassland,Exotic Herbaceous,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
69,345716,7037,3,17051,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Conifer,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
70,63987,7063,4,17051,North Pacific Broadleaf Landslide Forest,Hardwood,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
71,71467,7039,4,17051,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Conifer,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
72,54018,7967,4,17051,Western Cool Temperate Pasture and Hayland,Agricultural,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
73,3006,7960,4,17051,Western Cool Temperate Orchard,Agricultural,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
74,8043,7662,4,17051,Temperate Pacific Freshwater Emergent Marsh,Riparian,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
75,14021,9170,4,17051,North Pacific Lowland Mixed Hardwood-Conifer Forest,Conifer-Hardwood,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
76,72379,7037,4,17051,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Conifer,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
77,26282,7299,4,17051,Developed-Roads,Developed-Roads,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
78,8337,7662,3,17051,Temperate Pacific Freshwater Emergent Marsh,Riparian,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
79,11793,7662,2,17051,Temperate Pacific Freshwater Emergent Marsh,Riparian,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
80,5178,7902,4,17051,Western Cool Temperate Urban Mixed Forest,Developed,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
81,6414,7903,4,17051,Western Cool Temperate Urban Herbaceous,Developed,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
82,26194,7296,4,17051,Developed-Low Intensity,Developed-Low Intensity,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
83,14261,7964,4,17051,Western Cool Temperate Row Crop,Agricultural,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
84,1404,7962,4,17051,Western Cool Temperate Bush fruit and berries,Agricultural,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
85,2888,7966,4,17051,Western Cool Temperate Fallow/Idle Cropland,Agricultural,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
86,322,7944,3,17051,Western Cool Temperate Developed Ruderal Herbaceous Wetland,Developed,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
87,329,7968,3,17051,Western Cool Temperate Wheat,Agricultural,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
88,10264,7901,4,17051,Western Cool Temperate Urban Evergreen Forest,Developed,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
89,12146,7035,4,17051,North Pacific Dry Douglas-fir-(Madrone) Forest and Woodland,Conifer,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
90,17501,7900,4,17051,Western Cool Temperate Urban Deciduous Forest,Developed,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
91,3494,9826,4,17051,Southern Vancouverian Lowland Ruderal Grassland,Exotic Herbaceous,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
92,42,7968,4,17051,Western Cool Temperate Wheat,Agricultural,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
93,3693,7904,4,17051,Western Cool Temperate Urban Shrubland,Developed,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
94,50207,7036,3,17051,North Pacific Seasonal Sitka Spruce Forest,Conifer,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
95,3648,7036,2,17051,North Pacific Seasonal Sitka Spruce Forest,Conifer,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
96,1677,9826,2,17051,Southern Vancouverian Lowland Ruderal Grassland,Exotic Herbaceous,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
97,43889,7193,3,17051,Recently Logged-Tree Cover,Conifer,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
98,80607,7063,3,17039,North Pacific Broadleaf Landslide Forest,Hardwood,North Cascades
99,253999,9170,3,17039,North Pacific Lowland Mixed Hardwood-Conifer Forest,Conifer-Hardwood,North Cascades
100,82726,7037,3,17039,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Conifer,North Cascades
101,131632,7036,3,17039,North Pacific Seasonal Sitka Spruce Forest,Conifer,North Cascades
102,254574,7178,3,17039,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,Conifer,North Cascades
103,117,7960,3,17039,Western Cool Temperate Orchard,Agricultural,North Cascades
104,50,7198,3,17039,Recently Disturbed Other-Herb and Grass Cover,Grassland,North Cascades
105,5,7200,3,17039,Recently Disturbed Other-Tree Cover,Conifer,North Cascades
106,39625,7193,3,17039,Recently Logged-Tree Cover,Conifer,North Cascades
107,13767,7084,3,17039,North Pacific Montane Shrubland,Shrubland,North Cascades
108,1797166,7042,3,17039,North Pacific Mesic Western Hemlock-Silver Fir Forest,Conifer,North Cascades
109,37518,7191,3,17039,Recently Logged-Herb and Grass Cover,Grassland,North Cascades
110,49372,7039,3,17039,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Conifer,North Cascades
111,2,7199,3,17039,Recently Disturbed Other-Shrub Cover,Shrubland,North Cascades
112,18921,9826,3,17039,Southern Vancouverian Lowland Ruderal Grassland,Exotic Herbaceous,North Cascades
113,7170,7192,3,17039,Recently Logged-Shrub Cover,Shrubland,North Cascades
114,91,7964,3,17039,Western Cool Temperate Row Crop,Agricultural,North Cascades
115,207452,7174,3,17039,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,Conifer,North Cascades
116,46,7966,3,17039,Western Cool Temperate Fallow/Idle Cropland,Agricultural,North Cascades
117,4740,7967,3,17039,Western Cool Temperate Pasture and Hayland,Agricultural,North Cascades
118,35,7962,3,17039,Western Cool Temperate Bush fruit and berries,Agricultural,North Cascades
119,11261,7920,4,17051,Western Cool Temperate Developed Ruderal Deciduous Forest,Developed,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
120,720,7944,4,17051,Western Cool Temperate Developed Ruderal Herbaceous Wetland,Developed,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
121,593,7733,2,17051,North Pacific Montane Massive Bedrock-Cliff and Talus,Sparsely Vegetated,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
122,15328,7900,3,17039,Western Cool Temperate Urban Deciduous Forest,Developed,North Cascades
123,83930,7156,3,17039,North Pacific Lowland Riparian Forest,Riparian,North Cascades
124,18292,7299,3,17039,Developed-Roads,Developed-Roads,North Cascades
125,62277,7901,3,17039,Western Cool Temperate Urban Evergreen Forest,Developed,North Cascades
126,9323,7902,3,17039,Western Cool Temperate Urban Mixed Forest,Developed,North Cascades
127,391,7922,3,17039,Western Cool Temperate Developed Ruderal Mixed Forest,Developed,North Cascades
128,829,7921,3,17039,Western Cool Temperate Developed Ruderal Evergreen Forest,Developed,North Cascades
129,27804,7296,3,17039,Developed-Low Intensity,Developed-Low Intensity,North Cascades
130,307,7920,3,17039,Western Cool Temperate Developed Ruderal Deciduous Forest,Developed,North Cascades
131,3694,7297,3,17039,Developed-Medium Intensity,Developed-Medium Intensity,North Cascades
132,3881,7662,3,17039,Temperate Pacific Freshwater Emergent Marsh,Riparian,North Cascades
133,4,7961,3,17039,Western Cool Temperate Vineyard,Agricultural,North Cascades
134,57,7663,2,17051,North Pacific Shrub Swamp,Shrubland,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
135,523,7942,3,17039,Western Cool Temperate Developed Ruderal Mixed Forested Wetland,Developed,North Cascades
136,113672,7041,3,17039,North Pacific Mountain Hemlock Forest,Conifer,North Cascades
137,32420,7292,3,17039,Open Water,Open Water,North Cascades
138,19415,7038,3,17039,North Pacific Maritime Mesic Subalpine Parkland,Conifer,North Cascades
139,464,7157,3,17039,North Pacific Lowland Riparian Shrubland,Riparian,North Cascades
140,7282,7158,3,17039,North Pacific Montane Riparian Woodland,Riparian,North Cascades
141,1173263,7042,2,17039,North Pacific Mesic Western Hemlock-Silver Fir Forest,Conifer,North Cascades
142,249496,7174,2,17039,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,Conifer,North Cascades
143,1062,7903,3,17039,Western Cool Temperate Urban Herbaceous,Developed,North Cascades
144,2007,7960,2,17051,Western Cool Temperate Orchard,Agricultural,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
145,2394,7171,3,17039,North Pacific Alpine and Subalpine Dry Grassland,Grassland,North Cascades
146,18446,7733,3,17039,North Pacific Montane Massive Bedrock-Cliff and Talus,Sparsely Vegetated,North Cascades
147,271,7295,3,17039,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,North Cascades
148,226579,7041,2,17039,North Pacific Mountain Hemlock Forest,Conifer,North Cascades
149,8190,7063,4,17039,North Pacific Broadleaf Landslide Forest,Hardwood,North Cascades
150,857,7967,4,17039,Western Cool Temperate Pasture and Hayland,Agricultural,North Cascades
151,467,7298,3,17039,Developed-High Intensity,Developed-High Intensity,North Cascades
152,8,7964,4,17039,Western Cool Temperate Row Crop,Agricultural,North Cascades
153,1311,7299,4,17039,Developed-Roads,Developed-Roads,North Cascades
154,5581,7083,2,17039,North Pacific Avalanche Chute Shrubland,Shrubland,North Cascades
155,42370,7038,2,17039,North Pacific Maritime Mesic Subalpine Parkland,Conifer,North Cascades
156,3596,7192,4,17039,Recently Logged-Shrub Cover,Shrubland,North Cascades
157,10721,7191,4,17039,Recently Logged-Herb and Grass Cover,Grassland,North Cascades
158,16912,9826,2,17039,Southern Vancouverian Lowland Ruderal Grassland,Exotic Herbaceous,North Cascades
159,16,7923,4,17039,Western Cool Temperate Developed Ruderal Shrubland,Developed,North Cascades
160,65,7924,4,17039,Western Cool Temperate Developed Ruderal Grassland,Developed,North Cascades
161,6774,9826,4,17039,Southern Vancouverian Lowland Ruderal Grassland,Exotic Herbaceous,North Cascades
162,46989,7733,2,17039,North Pacific Montane Massive Bedrock-Cliff and Talus,Sparsely Vegetated,North Cascades
163,16707,7156,4,17039,North Pacific Lowland Riparian Forest,Riparian,North Cascades
164,834,7662,4,17039,Temperate Pacific Freshwater Emergent Marsh,Riparian,North Cascades
165,24060,7084,2,17039,North Pacific Montane Shrubland,Shrubland,North Cascades
166,9425,7039,4,17039,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Conifer,North Cascades
167,18085,7171,2,17039,North Pacific Alpine and Subalpine Dry Grassland,Grassland,North Cascades
168,4062,7036,4,17051,North Pacific Seasonal Sitka Spruce Forest,Conifer,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
169,7640,7158,2,17039,North Pacific Montane Riparian Woodland,Riparian,North Cascades
170,31,7663,3,17039,North Pacific Shrub Swamp,Shrubland,North Cascades
171,44268,7734,2,17039,North Pacific Alpine and Subalpine Bedrock and Scree,Sparsely Vegetated,North Cascades
172,52,9166,2,17039,North Pacific Herbaceous Bald and Bluff,Grassland,North Cascades
173,9609,7068,2,17039,North Pacific Dry and Mesic Alpine Dwarf-Shrubland,Shrubland,North Cascades
174,811,7069,2,17039,North Pacific Dry and Mesic Alpine Fell-field or Meadow,Grassland,North Cascades
175,1632,7193,2,17039,Recently Logged-Tree Cover,Conifer,North Cascades
176,391,7159,2,17039,North Pacific Montane Riparian Shrubland,Riparian,North Cascades
177,502,9272,2,17039,Temperate Pacific Subalpine-Montane Wet Meadow,Riparian,North Cascades
178,8,-9999,2,17039, , ,North Cascades
179,6382,7296,2,17039,Developed-Low Intensity,Developed-Low Intensity,North Cascades
180,11151,7901,2,17039,Western Cool Temperate Urban Evergreen Forest,Developed,North Cascades
181,109631,7042,4,17039,North Pacific Mesic Western Hemlock-Silver Fir Forest,Conifer,North Cascades
182,10528,7178,4,17039,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,Conifer,North Cascades
183,11,7197,3,17039,Recently Burned-Tree Cover,Conifer,North Cascades
184,486,7904,3,17039,Western Cool Temperate Urban Shrubland,Developed,North Cascades
185,1424,9165,3,17039,North Pacific Hardwood-Conifer Swamp,Riparian,North Cascades
186,249,7924,3,17039,Western Cool Temperate Developed Ruderal Grassland,Developed,North Cascades
187,12368,9170,4,17039,North Pacific Lowland Mixed Hardwood-Conifer Forest,Conifer-Hardwood,North Cascades
188,27616,7036,4,17039,North Pacific Seasonal Sitka Spruce Forest,Conifer,North Cascades
189,2,7134,4,17039,Columbia Basin Foothill and Canyon Dry Grassland,Grassland,North Cascades
190,13315,7174,4,17039,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,Conifer,North Cascades
191,5238,7965,4,17051,Western Cool Temperate Close Grown Crop,Agricultural,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
192,25256,7037,4,17039,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Conifer,North Cascades
193,2038,7902,2,17039,Western Cool Temperate Urban Mixed Forest,Developed,North Cascades
194,5094,7298,4,17051,Developed-High Intensity,Developed-High Intensity,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
195,13524,7297,4,17051,Developed-Medium Intensity,Developed-Medium Intensity,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
196,1047,7157,4,17051,North Pacific Lowland Riparian Shrubland,Riparian,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
197,4610,7900,2,17039,Western Cool Temperate Urban Deciduous Forest,Developed,North Cascades
198,2181944,7042,1,17039,North Pacific Mesic Western Hemlock-Silver Fir Forest,Conifer,North Cascades
199,361,-9999,1,17039, , ,North Cascades
200,683992,7174,1,17039,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,Conifer,North Cascades
201,91631,7156,2,17039,North Pacific Lowland Riparian Forest,Riparian,North Cascades
202,927116,7041,1,17039,North Pacific Mountain Hemlock Forest,Conifer,North Cascades
203,11357,7662,2,17039,Temperate Pacific Freshwater Emergent Marsh,Riparian,North Cascades
204,82495,7292,2,17039,Open Water,Open Water,North Cascades
205,32733,7156,1,17039,North Pacific Lowland Riparian Forest,Riparian,North Cascades
206,29865,7083,1,17039,North Pacific Avalanche Chute Shrubland,Shrubland,North Cascades
207,3951,7159,1,17039,North Pacific Montane Riparian Shrubland,Riparian,North Cascades
208,8233,7967,2,17039,Western Cool Temperate Pasture and Hayland,Agricultural,North Cascades
209,853,7921,2,17039,Western Cool Temperate Developed Ruderal Evergreen Forest,Developed,North Cascades
210,27746,7036,2,17039,North Pacific Seasonal Sitka Spruce Forest,Conifer,North Cascades
211,55431,9170,2,17039,North Pacific Lowland Mixed Hardwood-Conifer Forest,Conifer-Hardwood,North Cascades
212,130466,7178,2,17039,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,Conifer,North Cascades
213,15172,7039,2,17039,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Conifer,North Cascades
214,284581,7733,1,17039,North Pacific Montane Massive Bedrock-Cliff and Talus,Sparsely Vegetated,North Cascades
215,38452,7158,1,17039,North Pacific Montane Riparian Woodland,Riparian,North Cascades
216,250,7922,2,17039,Western Cool Temperate Developed Ruderal Mixed Forest,Developed,North Cascades
217,112,7298,2,17039,Developed-High Intensity,Developed-High Intensity,North Cascades
218,20682,7063,2,17039,North Pacific Broadleaf Landslide Forest,Hardwood,North Cascades
219,875,7297,2,17039,Developed-Medium Intensity,Developed-Medium Intensity,North Cascades
220,4324,7662,1,17039,Temperate Pacific Freshwater Emergent Marsh,Riparian,North Cascades
221,88833,9826,1,17039,Southern Vancouverian Lowland Ruderal Grassland,Exotic Herbaceous,North Cascades
222,7805,7299,2,17039,Developed-Roads,Developed-Roads,North Cascades
223,139215,7084,1,17039,North Pacific Montane Shrubland,Shrubland,North Cascades
224,995,7920,2,17039,Western Cool Temperate Developed Ruderal Deciduous Forest,Developed,North Cascades
225,115,9811,3,17051,North Pacific Maritime Coastal Sand Dune Ruderal Herb Vegetation,Exotic Herbaceous,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
226,2032,7942,2,17039,Western Cool Temperate Developed Ruderal Mixed Forested Wetland,Developed,North Cascades
227,714332,7734,1,17039,North Pacific Alpine and Subalpine Bedrock and Scree,Sparsely Vegetated,North Cascades
228,101061,7068,1,17039,North Pacific Dry and Mesic Alpine Dwarf-Shrubland,Shrubland,North Cascades
229,317153,7038,1,17039,North Pacific Maritime Mesic Subalpine Parkland,Conifer,North Cascades
230,19076,7037,1,17039,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Conifer,North Cascades
231,167663,7171,1,17039,North Pacific Alpine and Subalpine Dry Grassland,Grassland,North Cascades
232,2615,9165,2,17039,North Pacific Hardwood-Conifer Swamp,Riparian,North Cascades
233,172,7923,2,17039,Western Cool Temperate Developed Ruderal Shrubland,Developed,North Cascades
